category_name,Original,Sample_50%
-0.0083333333333333,2,0
-0.0099999999999999,1,1
-0.0142135642135642,1,1
-0.0166666666666666,1,1
-0.0174450549450549,1,0
-0.0208333333333333,1,0
-0.0222222222222222,1,0
-0.0249999999999999,1,0
-0.025,2,1
-0.0274999999999999,1,1
-0.0318181818181818,1,0
-0.0333333333333333,1,1
-0.0407366071428571,1,0
-0.0412499999999999,1,1
-0.0458333333333333,1,0
-0.0499999999999999,1,1
-0.05,7,1
-0.0520833333333333,1,0
-0.0555555555555555,2,1
-0.0562499999999999,1,1
-0.0625,1,0
-0.0699999999999999,1,1
-0.0714285714285714,2,1
-0.075,1,1
-0.078125,1,0
-0.0803571428571428,1,1
-0.0833333333333333,1,1
-0.0848214285714285,1,1
-0.0916666666666666,1,0
-0.0933333333333333,1,0
-0.0999999999999999,2,2
-0.1,13,6
-0.1083333333333333,1,1
-0.11,1,0
-0.1166666666666666,3,0
-0.1229166666666666,1,0
-0.1242857142857142,1,0
-0.125,3,1
-0.1305555555555555,1,0
-0.1333333333333333,2,1
-0.1375,2,0
-0.1399999999999999,1,0
-0.1444444444444444,3,1
-0.15,5,1
-0.1555555555555555,1,0
-0.1583333333333333,1,1
-0.1666666666666666,1,0
-0.1683333333333333,1,0
-0.18,1,1
-0.1838095238095238,1,1
-0.1916666666666666,1,1
-0.1928571428571428,1,1
-0.1952380952380952,1,1
-0.1999999999999999,2,2
-0.2,4,1
-0.2041666666666667,1,0
-0.206875,1,1
-0.2166666666666666,1,1
-0.2199999999999999,1,0
-0.225,1,0
-0.2277777777777777,1,1
-0.2398148148148148,1,1
-0.2479166666666666,1,1
-0.25,5,1
-0.2602272727272726,1,0
-0.2666666666666666,1,1
-0.275,2,1
-0.3,5,2
-0.3047619047619047,1,1
-0.3125,2,0
-0.3222222222222222,1,1
-0.325,1,0
-0.3333333333333332,1,1
-0.3333333333333333,1,0
-0.3366666666666666,1,1
-0.34,1,0
-0.3458333333333333,1,0
-0.3499999999999999,1,0
-0.35,1,0
-0.3624999999999999,1,0
-0.375,1,1
-0.4,13,5
-0.4125,1,1
-0.4333333333333333,1,0
-0.4375,1,0
-0.4452380952380952,1,1
-0.5,12,7
-0.5125,1,0
-0.5166666666666666,1,1
-0.525,1,1
-0.5416666666666666,1,1
-0.5666666666666668,1,1
-0.575,1,1
-0.6,7,5
-0.6999999999999998,6,3
-0.7000000000000001,1,0
-0.7142857142857143,1,1
-0.7999999999999999,1,1
-0.8,8,5
-0.9,2,1
-1.0,6,3
0.0,331,177
0.0022321428571428,1,1
0.0051020408163265,1,1
0.0052083333333333,1,1
