term,freq,log1p
the,920,6.825460036255307
to,566,6.340359303727752
and,488,6.192362489474872
is,402,5.998936561946683
it,350,5.860786223465865
of,311,5.7430031878094825
in,286,5.659482215759621
that,238,5.476463551931511
for,214,5.3706380281276624
this,213,5.365976015021851
